year,CAP,CAP_W,RET_total,SPREAD_PC_median,FF30,EXCHCD,notPERMNO
2018,1652596.4,1310598.45,19.540327,3.724138,Other,3,808
2018,945910.14,198172.4535,5.3593,3.1292517,Servs,3,397
2018,82807.2,85432.7574,-2.9360712,0.6849315,Fin,3,322
2018,2080856.68,2798607.85,-22.808926,2.857143,Trans,3,31
2018,795646.35,972105.0,-27.808954,4.455446,Hlth,3,65
2018,2289069.45,1596284.34,27.954685,2.0709918,Other,3,456
2018,2035084.8,1030283.84,64.964096,4.4046097,Other,3,498
2018,3183268.53,3650174.75,-7.04489,2.1484375,Fin,3,82
2018,163100.72,178095.0,-22.801443,1.6970071,Fin,3,460
2018,1367414.1,1266648.32,9.765287,2.480916,Trans,1,110
2018,949839.03,876064.02,-3.432152,1.8020442,Fin,1,325
2018,5403098.92,9103032.0,-37.93462,1.6847826,Telcm,1,694
2018,1326888.8299999998,1243778.01,5.274297,1.7840376,Fin,1,465
2018,463553.54,473263.00000000006,-0.051756684,2.0497804,Fin,3,718
2018,395699.59,453730.0,-13.59798,3.4925864,Whlsl,1,624
2018,2588661.2,1409004.16,75.72205,3.401932,Other,3,575
2018,383050.62,450665.6,-22.668695,2.3111112,Fin,1,757
2018,866394.1,961567.2,-13.02436,3.4862385,Other,3,655
2018,276555.5,207559.2,36.47002,2.2241993,Fin,3,177
2018,1463862.96,845316.0,69.33391,3.7674417,Other,3,449
2018,1300383.36,3178657.96,-59.901623,4.6212344,Other,3,400
2018,1736797.92,694088.16,105.75566,4.792697,Other,3,413
2018,1193294.74,1438936.92,-16.144215,2.8492007,Rtail,1,56
2018,207895.24,320879.65,-45.97373,2.7160494,Fin,3,360
2018,1418200.8,1556744.4,-12.158739,3.4942207,BusEq,1,163
2018,16861452.72,30215877.12,-37.801014,2.0191445,Servs,1,630
2018,1194360.09,1974565.5,-38.124752,2.408759,Fin,1,363
2018,3298436.26,3517720.51,-6.540739,2.5974026,Fin,1,467
2018,331104.51,308157.45,7.134197,4.9941926,Other,3,358
2018,856894.9800000002,707368.2000000002,0.63776547,3.4536083,Other,3,232
2018,21878325.0,17834483.94,19.699957,3.8185256,Servs,1,482
2018,385026.9,488482.8000000001,-19.714327,3.0535455,Rtail,3,111
2018,305668.3,735636.82,-59.201366,5.1054854,Other,3,448
2018,558304.85,725022.4,-23.30659,2.5222552,Steel,1,385
2018,4943043.12,6477817.27,-21.992548,2.3154848,Fin,1,198
2018,70071.23999999999,74457.9,-5.9595118,1.3442868,Other,3,263
2018,49588.0,50446.1646,-0.77826315,3.6927621,Trans,3,81
2018,219922.5,243198.0,0.78664106,1.572327,Food,3,118
2018,55443.72,54205.2,5.6730947,1.9987508,Fin,3,179
2018,274314.56,283959.0,-4.067912,1.702432,Other,3,238
2018,225143.82,266169.34,-15.092608,1.6937895,Fin,3,595
2018,548735.64,464454.9,16.479956,5.032619,Other,3,756
2018,283573.55,306958.77,-8.590007,2.6933918,Fin,1,277
2018,866276.5,881641.67,-13.016892,4.3378997,Fin,3,633
2018,243012.38,342897.75,-30.048409,2.863651,Servs,1,667
2018,134604.96,122880.0,-14.949706,2.094203,Other,3,682
2018,1202103.15,882937.74,30.212332,2.8783958,BusEq,1,281
2018,12789823.48,18903347.82,-26.153698,2.5794797,Games,1,125
2018,1806667.02,3375955.11,-50.112774,3.2884436,Oil,1,265
2018,584071.02,449834.88,25.484821,3.4763107,Other,3,725
2018,3170924.13,7221973.979999999,-56.674774,2.036199,Other,3,471
2018,1289941.4,1384874.4,-4.390301,1.9933555,Food,1,647
2018,3355051.85,5922184.26,-41.848244,2.619128,Chems,1,329
2018,530900.3400000001,857520.3,-44.501503,3.1719532,Cnstr,1,620
2018,2027833.56,1169422.9,43.314255,4.8206277,Chems,3,104
2018,490446.6,627130.4,-20.803133,3.0015798,FabPr,1,153
2018,827564.64,833353.92,-12.345534,6.2711864,Oil,1,706
2018,937628.9,1061677.25,-9.591793,2.236136,Whlsl,1,531
2018,2401992.9,2704128.5,-11.798605,2.1218076,Cnstr,1,279
2018,424644.48,564325.86,-25.081694,3.8563128,Oil,1,248
2018,576394.0,800647.94,-29.973322,2.4364955,Fin,1,393
2018,518550.52,665194.9,-22.508684,2.3349435,Other,3,704
2018,710338.2000000002,898718.24,-15.992396,1.8305814,Fin,1,103
2018,744306.75,1305447.0,-43.692173,3.6351166,Other,3,528
2018,751350.36,1417482.09,-48.095627,4.8876743,Hlth,3,615
2018,958376.64,583061.0,55.999924,3.0411448,Other,3,227
2018,161725.5,165025.0,-11.969187,1.5878378,Other,3,185
2018,706415.4,980479.5,-26.99237,2.3809524,Other,3,578
2018,143569.25,201210.75,-29.059986,2.0596187,Other,3,699
2018,4478075.4,7358528.0,-45.72031,3.0602922,Oil,1,589
2018,573910.59,778407.6,-26.666256,2.2108843,Other,3,273
2018,1153547.0399999998,666945.25,69.71031,3.3536584,Other,3,715
2018,299238.31999999995,474746.25,-36.755592,3.0664396,Other,3,309
2018,484879.78,488400.25,1.904572,1.8644068,Other,3,315
2018,1385572.25,1333954.35,2.790302,2.519685,,1,625
2018,9360438.12,12894143.76,-20.657728,1.9075786,Fin,1,566
2018,116535.33,198588.48,-40.976337,1.8559028,Other,3,742
2018,1384534.4,3458085.6,-60.559776,2.8521352,Mines,1,759
2018,3265401.16,1769773.44,74.14178,3.1696706,Servs,1,479
2018,3280825.78,3839591.0,-20.171896,2.0426288,Fin,1,778
2018,1224818.03,671574.7999999999,67.71046,2.788104,Servs,1,730
2018,2734301.61,2095548.72,24.051146,2.1341465,Other,3,527
2018,789061.98,2644783.68,-68.324005,4.122077,Mines,1,267
2018,936655.7,829610.18,7.403575,3.9936733,Other,3,516
2018,235203.2,229311.5,3.7100532,2.6369169,Fin,3,642
2018,2750549.76,1643321.7,45.914692,3.0419714,Other,3,774
2018,561985.34,657593.0,-15.391446,2.2608695,Other,3,401
2018,1281733.36,1516861.5,-16.91594,2.2231371,FabPr,1,98
2018,466699.2,768790.0800000002,-40.86031,3.441089,Servs,3,436
2018,507188.85,703038.0,-28.670698,2.1466906,Fin,3,66
2018,234286.36,790348.6900000002,-74.80081,5.16129,Other,3,571
2018,666991.5,508668.0,28.025219,3.4640274,Fin,1,689
2018,2938185.76,3234264.4000000013,-3.449936,2.5524907,Rtail,3,439
2018,877701.33,922387.5,-8.578055,3.5638957,Other,3,218
2018,5958617.28,5624011.0,8.066553,2.0850368,Other,3,582
2018,1089736.18,2376287.0,-50.234474,3.2520325,Trans,1,165
2018,416583.09,510093.0,-18.368303,3.125,Other,3,293
2018,352107.22,963594.88,-63.23928,3.6971831,Cnstr,1,387
2018,661026.6000000001,767854.8,-14.322815,2.082448,Servs,1,213
2018,429548.72,941779.44,-54.792286,4.4117646,Other,3,524
2018,3251029.45,3524606.0,-2.484898,2.1228616,Fin,1,28
2018,1734515.4,3567350.5,-43.67894,2.8100774,Fin,1,331
