RET,date_m,year,notPERMNO
0.064355,201907,2019,21
0.077857,201908,2019,21
0.04837,201909,2019,21
-0.102887,201910,2019,21
0.114136,201911,2019,21
0.006728,201912,2019,21
-0.003218,202001,2020,21
-0.163645,202002,2020,21
-0.289786,202003,2020,21
0.146984,202004,2020,21
0.281852,202005,2020,21
-0.068188,202006,2020,21
-0.102909,202007,2020,21
0.5,202008,2020,21
-0.017824,202009,2020,21
0.185769,202010,2020,21
0.207612,202011,2020,21
0.0208,202012,2020,21
0.090409,201901,2019,22
0.112473,201902,2019,22
-0.025924,201903,2019,22
0.151475,201904,2019,22
0.037253,201905,2019,22
0.254209,201906,2019,22
0.032824,201907,2019,22
0.001741,201908,2019,22
0.019122,201909,2019,22
-0.002999,201910,2019,22
0.007735,201911,2019,22
-0.000426,201912,2019,22
0.0,202001,2020,22
-0.010287,202002,2020,22
0.014725,202003,2020,22
-0.019597,201901,2019,23
0.100218,201902,2019,23
-0.053973,201903,2019,23
0.060471,201904,2019,23
-0.014132,201905,2019,23
0.032519,201906,2019,23
0.010662,201907,2019,23
-0.035013,201908,2019,23
0.025664,201909,2019,23
0.085049,201910,2019,23
-0.008685,201911,2019,23
0.054755,201912,2019,23
-0.059126,202001,2020,23
-0.07074,202002,2020,23
-0.096628,202003,2020,23
-0.059749,202004,2020,23
-0.039105,202005,2020,23
0.006527,202006,2020,23
0.004323,202007,2020,23
0.02557,202008,2020,23
-0.141584,202009,2020,23
-0.014434,202010,2020,23
0.14574,202011,2020,23
0.109888,202012,2020,23
0.059604,201901,2019,24
0.068779,201902,2019,24
0.045869,201903,2019,24
0.093858,201904,2019,24
-0.10659,201905,2019,24
0.102327,201906,2019,24
0.026708,201907,2019,24
-0.134938,201908,2019,24
0.11713,201909,2019,24
0.020365,201910,2019,24
-0.015611,201911,2019,24
0.025294,201912,2019,24
0.062875,202001,2020,24
-0.125532,202002,2020,24
0.045098,202003,2020,24
-0.096029,202004,2020,24
0.127858,202005,2020,24
-0.057526,202006,2020,24
0.056926,202007,2020,24
-0.025534,202008,2020,24
-0.000716,202009,2020,24
0.023763,202010,2020,24
0.037419,202011,2020,24
0.11679,202012,2020,24
-0.04585,201901,2019,25
0.164872,201902,2019,25
-0.119488,201903,2019,25
-0.042003,201904,2019,25
0.578415,201905,2019,25
-0.206197,201906,2019,25
0.228802,201907,2019,25
-0.036692,201908,2019,25
0.120523,201909,2019,25
-0.021309,201910,2019,25
0.269051,201911,2019,25
0.115196,201912,2019,25
-0.150549,202001,2020,25
0.047865,202002,2020,25
-0.162551,202003,2020,25
0.202948,202004,2020,25
-0.15768,202005,2020,25
-0.041707,202006,2020,25
-0.154858,202007,2020,25
0.138922,202008,2020,25
-0.009464,202009,2020,25
0.316879,202010,2020,25
0.334543,202011,2020,25
0.33283,202012,2020,25
-0.055085,201901,2019,26
0.017548,201902,2019,26
-0.048402,201903,2019,26
0.041569,201904,2019,26
-0.036368,201905,2019,26
0.107543,201906,2019,26
0.042437,201907,2019,26
-0.191939,201908,2019,26
0.234836,201909,2019,26
0.135119,201910,2019,26
0.010996,201911,2019,26
0.022246,201912,2019,26
